day,no,word,meaning
DAY10,31,desire,"욕구, 갈망, 원하다, 바라다"
DAY10,32,redeemable,"(현금·상품과)교환할 수 있는, 환급할 수 있는"
DAY10,33,officially,공식적으로
DAY10,34,consumption,"소비(량), 소모"
DAY10,35,qualify,~의 자격을 얻다
DAY10,36,fabric,"섬유, 천"
DAY10,37,auction,경매
DAY10,38,authentic,"진정한, 진짜의, 진품의"
DAY10,39,valid,유효한
DAY10,40,vendor,"노점상, 가판대, 판매업체"
DAY10,41,bakery,"빵집, 제과점"
DAY10,42,best-selling,베스트셀러의
DAY10,43,cashier,(은행·상점·호텔 등의) 출납원
DAY10,44,clothing,의류
DAY10,45,corner,"모퉁이, 구석"
DAY10,46,costume,"복장, 의상"
DAY10,47,free,"자유로이~할 수 있는, 마음대로의"
DAY10,48,label,"라벨, 꼬리표, ~에 라벨을 붙이다"
DAY10,49,necklace,목걸이
DAY10,50,photography equipment,사진 장비
DAY10,51,shelf,선반
DAY10,52,shop,"상점, 물건을 사다"
DAY10,53,shopper,쇼핑객
DAY10,54,size,"크기, 치수"
DAY10,55,sunglasses,선글라스
DAY10,56,supermarket,슈퍼마켓
DAY10,57,unwanted,"원치 않는, 반갑지 않은"
DAY10,58,basis,"기초, 근거, 원칙"
DAY10,59,brand,"상표, 브랜드"
DAY10,60,department store,백화점
DAY10,61,discount store,할인 점포
DAY10,62,display,"전시하다, 진열하다, 전시, 진열"
DAY10,63,fit,"(치수가)~에 꼭 맞다, ~에 적합하다"
DAY10,64,fully,"완전히, 충분히"
DAY10,65,grocery,식료품점
DAY10,66,keep,"보유하다, 계속하다"
DAY10,67,store,"가게, 저장하다"
DAY10,68,tax,세금
DAY10,69,at the moment,지금
DAY10,70,celebrate,축하하다
DAY10,71,decorative item,장식품
DAY10,72,discounted coupon,할인권
DAY10,73,for sale,팔려고 내놓은
DAY10,74,half price,반값
DAY10,75,have A strapped to one's shoulder,~의 어깨에 A를 메고 있다
DAY10,76,instead,대신에
DAY10,77,make a purchase,구입하다
DAY10,78,make no difference,"상관없다, 중요하지 않다"
DAY10,79,make payment,지불하다
DAY10,80,Not that I'm aware of,내가 아는 한 아니다.
DAY10,81,out of town,"시내에 없는, 다른 곳으로 떠난"
DAY10,82,overcoat,외투
DAY10,83,pay in cash,현찰로 지불하다
DAY10,84,put out for display,"~을 전시해 놓다, 진열해 놓다"
DAY10,85,shoelace,신발 끈
DAY10,86,shopkeeper,가게 주인
DAY10,87,showroom,"진열실, 전시실"
DAY10,88,sleeve,(옷) 소매
DAY10,89,souvenir,기념품
DAY10,90,stack,"더미, 쌓아 올리다"
DAY10,91,stand in line,줄을 서다
DAY10,92,storefront,가게 앞 공간
DAY10,93,stylish,"패션 감각이 있는, 멋진"
DAY10,94,tag,(물건에 붙어 있는) 꼬리표
DAY10,95,take the order,주문을 받다
DAY10,96,try on,(옷 따위를) 입어 보다
DAY10,97,underline,"밑줄을 긋다, 강조하다"
DAY10,98,watch band,(손목시계의) 시곗줄
DAY10,99,window-shopping,아이쇼핑
DAY10,100,afford to do,"~할 수 있다, ~할 여유가 있다"
DAY10,101,apparel,"의복, 의류"
DAY10,102,dairy products,유제품
DAY10,103,elsewhere,"다른 장소에서는, 다른 경우에는"
DAY10,104,gift certificate,상품권
DAY10,105,glassware,유리 제품
DAY10,106,inexpensive,비싸지 않은
DAY10,107,lately,최근에
DAY10,108,latest,최신의
DAY10,109,luxury,"사치, 사치품, 값비싼"
DAY10,110,outerwear,"겉옷, 외투"
DAY10,111,outlet,"판매 대리점, 소매점, 콘센트"
DAY10,112,portable,휴대용의
DAY10,113,readership,독자의 수
DAY10,114,readily,"즉시, 손쉽게"
DAY10,115,refundable,"환불 가능한, 변제 가능한"
DAY10,116,value,"가치, 가격"
DAY10,117,a selection of,~의 모음
DAY10,118,a variety of (= various),다양한
DAY10,119,at a discounted price,할인가로
DAY10,120,by check,수표로
DAY10,121,by credit card,신용카드로
DAY10,122,by no means,결코 ~이 아닌
DAY10,123,extra charge,추가 비용
DAY10,124,get in line,줄에 들어가 서다
DAY10,125,give a discount,할인하다
DAY10,126,in cash,현금으로
DAY10,127,merchandise,"상품, 제품"
DAY10,128,no later than,늦어도 ~까지
DAY10,129,showcase,"유리 진열장, 공개 행사"
DAY10,130,textile,"직물, 섬유"
DAY10,131,thrifty,"검소한, 검약하는"
DAY10,132,under warranty,보증 기간 중인
DAY10,133,valid for,"~에 유효한, ~동안 유효한"
DAY10,134,voucher,(현금 대용의) 상품권
DAY10,135,wholesale,"도매의, 다량의"
DAY10,136,wrap a present,선물을 포장하다
DAY10,137,automotive repair shop,자동차 수리점
DAY10,138,awning,"(창・문 등의) 차양, 덮개"
DAY10,139,cash register,"금전 등록기, 계산대"
DAY10,140,cooking utensil (= cookware),조리 기구
DAY10,141,display case,"진열 상자, 진열함"
DAY10,142,garment,의류
